item,itemLabel,startDate,endDate,psid
Q17485835,"Баширов, Марат Фаатович",2014-07-04,2014-08-20,Q17485835-07D8BC1D-27EB-41CE-8D16-2A1B392AB072
Q17582456,Игорь Венедиктович Плотницкий,2014-08-20,2014-08-26,Q17582456-0119a7b3-410b-0b10-2f48-ad413800397f
Q18119637,"Цыпкалов, Геннадий Николаевич",2014-08-26,2015-12-26,Q18119637-6bd99964-46c9-79e2-abfe-54ec1ff0f8e9
Q18274766,"Никитин, Василий Александрович",2014-05-18,2014-07-04,Q18274766-E469DB58-19E5-4C32-A0EB-FCB1BF3B85A3
Q21855460,Сергей Иванович Козлов,2015-12-28,,Q21855460-bda059f1-4078-c427-940f-acb308f6ab6e
