item,itemLabel,position,positionLabel,start,psid
Q108786855,Vladislav Kuznetsov,Q112632215,First Deputy Chairman of the Luhansk People's Republic,2022-06-09,Q108786855-63A44720-4946-4745-BAC6-790ED5895BD2
Q110994764,Oleg Bugrov,Q110994628,Minister of Defence,2014-08-26,Q110994764-3F8012E0-7C7A-4B45-BA7D-8CDF154D206B
Q28799078,Vladislav Daynego,Q110994655,Minister of Foreign Affairs of the Luhansk People's Republic,2018-12-29,Q28799078-F002F1A5-DE9D-41DC-8AA6-BB05E4A31C00
Q43402379,Igor Kornet,Q110994645,Minister of Internal Affairs,2017-11-25,Q43402379-38AFF944-02A6-41AF-A595-3CF9D9681D8B
Q43590358,Leonid Pasechnik,Q110994605,Minister of State Security,2014-10-09,Q43590358-AEDEFFA6-B81F-49C1-B17C-78225019D354
